Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-12-15 00:00:00-05:00,48517.0,48745.0,48303.0,48461.0,66115,0.0,0.0
2025-12-16 00:00:00-05:00,48479.0,48547.0,47964.0,48131.0,44714,0.0,0.0
2025-12-17 00:00:00-05:00,48119.0,48405.0,47876.0,47908.0,32740,0.0,0.0
2025-12-18 00:00:00-05:00,47927.0,48389.0,47821.0,47988.0,17446,0.0,0.0
2025-12-19 00:00:00-05:00,47919.0,48090.0,47809.0,48090.0,70175,0.0,0.0
2025-12-22 00:00:00-05:00,48600.0,48787.0,48458.0,48688.0,71951,0.0,0.0
2025-12-23 00:00:00-05:00,48684.0,48854.0,48532.0,48762.0,52243,0.0,0.0
2025-12-24 00:00:00-05:00,48744.0,49084.0,48681.0,49029.0,26493,0.0,0.0
2025-12-26 00:00:00-05:00,49050.0,49086.0,48872.0,48998.0,34809,0.0,0.0
2025-12-29 00:00:00-05:00,48998.0,49052.0,48665.0,48749.0,50840,0.0,0.0
2025-12-30 00:00:00-05:00,48763.0,48774.0,48573.0,48650.0,44085,0.0,0.0
2025-12-31 00:00:00-05:00,48685.0,48693.0,48315.0,48336.0,46839,0.0,0.0
2026-01-02 00:00:00-05:00,48373.0,48652.0,48092.0,48616.0,104062,0.0,0.0
2026-01-05 00:00:00-05:00,48653.0,49463.0,48556.0,49228.0,108530,0.0,0.0
2026-01-06 00:00:00-05:00,49225.0,49766.0,49096.0,49721.0,96101,0.0,0.0
2026-01-07 00:00:00-05:00,49752.0,49876.0,49182.0,49239.0,103442,0.0,0.0
2026-01-08 00:00:00-05:00,49239.0,49603.0,49001.0,49493.0,107058,0.0,0.0
2026-01-09 00:00:00-05:00,49569.0,49793.0,49408.0,49726.0,85625,0.0,0.0
2026-01-12 00:00:00-05:00,49720.0,49855.0,49212.0,49809.0,104754,0.0,0.0
2026-01-13 00:00:00-05:00,49764.0,49901.0,49274.0,49409.0,115853,0.0,0.0
2026-01-14 00:00:00-05:00,49372.0,49400.0,49057.0,49356.0,115853,0.0,0.0
2026-01-15 00:00:00-05:00,49277.0,49417.0,49253.0,49417.0,12852,0.0,0.0
