Price,Close,High,Low,Open,Volume,Date
2026-01-02 09:30:00+00:00,48496.0,48501.0,48494.0,48500.0,30,2026-01-02
2026-01-02 09:31:00+00:00,48493.0,48495.0,48492.0,48495.0,26,2026-01-02
2026-01-02 09:32:00+00:00,48496.0,48498.0,48492.0,48493.0,40,2026-01-02
2026-01-02 09:33:00+00:00,48496.0,48499.0,48496.0,48496.0,11,2026-01-02
2026-01-02 09:34:00+00:00,48494.0,48496.0,48493.0,48495.0,11,2026-01-02
2026-01-02 09:35:00+00:00,48497.0,48497.0,48493.0,48494.0,14,2026-01-02
2026-01-02 09:36:00+00:00,48500.0,48500.0,48498.0,48498.0,3,2026-01-02
2026-01-02 09:37:00+00:00,48499.0,48499.0,48497.0,48499.0,4,2026-01-02
2026-01-02 09:38:00+00:00,48501.0,48503.0,48499.0,48499.0,13,2026-01-02
2026-01-02 09:39:00+00:00,48505.0,48505.0,48502.0,48503.0,8,2026-01-02
2026-01-02 09:40:00+00:00,48506.0,48508.0,48505.0,48505.0,19,2026-01-02
2026-01-02 09:41:00+00:00,48511.0,48513.0,48509.0,48509.0,19,2026-01-02
2026-01-02 09:42:00+00:00,48511.0,48511.0,48509.0,48510.0,8,2026-01-02
2026-01-02 09:43:00+00:00,48517.0,48517.0,48511.0,48511.0,44,2026-01-02
2026-01-02 09:44:00+00:00,48517.0,48518.0,48515.0,48517.0,17,2026-01-02
2026-01-02 09:45:00+00:00,48516.0,48518.0,48516.0,48518.0,23,2026-01-02
2026-01-02 09:46:00+00:00,48514.0,48518.0,48512.0,48518.0,29,2026-01-02
2026-01-02 09:47:00+00:00,48516.0,48518.0,48513.0,48514.0,19,2026-01-02
2026-01-02 09:48:00+00:00,48515.0,48517.0,48514.0,48516.0,14,2026-01-02
2026-01-02 09:49:00+00:00,48512.0,48514.0,48511.0,48514.0,11,2026-01-02
2026-01-02 09:50:00+00:00,48513.0,48515.0,48513.0,48514.0,28,2026-01-02
2026-01-02 09:51:00+00:00,48514.0,48516.0,48514.0,48515.0,7,2026-01-02
2026-01-02 09:52:00+00:00,48514.0,48515.0,48512.0,48512.0,10,2026-01-02
2026-01-02 09:53:00+00:00,48515.0,48515.0,48514.0,48514.0,6,2026-01-02
2026-01-02 09:54:00+00:00,48511.0,48516.0,48504.0,48516.0,23,2026-01-02
2026-01-02 09:55:00+00:00,48513.0,48515.0,48510.0,48510.0,20,2026-01-02
2026-01-02 09:56:00+00:00,48515.0,48515.0,48514.0,48514.0,8,2026-01-02
2026-01-02 09:57:00+00:00,48519.0,48519.0,48514.0,48516.0,8,2026-01-02
2026-01-02 09:58:00+00:00,48520.0,48521.0,48517.0,48518.0,10,2026-01-02
2026-01-02 09:59:00+00:00,48521.0,48522.0,48519.0,48522.0,11,2026-01-02
2026-01-02 10:00:00+00:00,48516.0,48522.0,48516.0,48521.0,24,2026-01-02
