time,time,Open,High,Low,Close,signal,buy_price,sell_price,position,pl
2026-01-30 09:30:00-05:00,2026-01-30 09:30:00,49032,49095,49008,49072,,,,flat,0.0
2026-01-30 09:31:00-05:00,2026-01-30 09:31:00,49071,49091,49035,49067,,,,flat,0.0
2026-01-30 09:32:00-05:00,2026-01-30 09:32:00,49064,49127,49041,49125,,,,flat,0.0
2026-01-30 09:33:00-05:00,2026-01-30 09:33:00,49126,49169,49121,49150,,,,flat,0.0
2026-01-30 09:34:00-05:00,2026-01-30 09:34:00,49153,49169,49120,49128,,,,flat,0.0
2026-01-30 09:35:00-05:00,2026-01-30 09:35:00,49126,49139,49076,49139,,,,flat,0.0
2026-01-30 09:36:00-05:00,2026-01-30 09:36:00,49135,49164,49104,49104,,,,flat,0.0
2026-01-30 09:37:00-05:00,2026-01-30 09:37:00,49103,49121,49074,49107,,,,flat,0.0
2026-01-30 09:38:00-05:00,2026-01-30 09:38:00,49107,49118,49082,49104,,,,flat,0.0
2026-01-30 09:39:00-05:00,2026-01-30 09:39:00,49102,49112,49066,49085,,,,flat,0.0
2026-01-30 09:40:00-05:00,2026-01-30 09:40:00,49084,49088,49054,49058,,,,flat,0.0
2026-01-30 09:41:00-05:00,2026-01-30 09:41:00,49058,49079,49036,49064,,,,flat,0.0
2026-01-30 09:42:00-05:00,2026-01-30 09:42:00,49060,49092,49043,49060,,,,flat,0.0
2026-01-30 09:43:00-05:00,2026-01-30 09:43:00,49059,49062,49031,49050,,,,flat,0.0
2026-01-30 09:44:00-05:00,2026-01-30 09:44:00,49050,49074,49037,49053,,,,flat,0.0
2026-01-30 09:45:00-05:00,2026-01-30 09:45:00,49053,49068,49011,49014,,,,flat,0.0
2026-01-30 09:46:00-05:00,2026-01-30 09:46:00,49013,49018,48985,49004,SELL,,49004.0,short,0.0
2026-01-30 09:47:00-05:00,2026-01-30 09:47:00,49003,49053,48988,49042,,,,short,-38.0
2026-01-30 09:48:00-05:00,2026-01-30 09:48:00,49040,49049,49015,49018,,,,short,-14.0
2026-01-30 09:49:00-05:00,2026-01-30 09:49:00,49021,49051,48998,49000,,,,short,4.0
2026-01-30 09:50:00-05:00,2026-01-30 09:50:00,49002,49053,48988,49029,,,,short,-25.0
2026-01-30 09:51:00-05:00,2026-01-30 09:51:00,49029,49065,49027,49063,,,,short,-59.0
2026-01-30 09:52:00-05:00,2026-01-30 09:52:00,49061,49072,49009,49011,,,,short,-7.0
2026-01-30 09:53:00-05:00,2026-01-30 09:53:00,49011,49023,48981,49000,,,,short,4.0
2026-01-30 09:54:00-05:00,2026-01-30 09:54:00,49003,49003,48965,48983,,,,short,21.0
2026-01-30 09:55:00-05:00,2026-01-30 09:55:00,48980,49019,48975,49003,,,,short,1.0
2026-01-30 09:56:00-05:00,2026-01-30 09:56:00,49003,49023,48986,49010,,,,short,-6.0
2026-01-30 09:57:00-05:00,2026-01-30 09:57:00,49008,49022,48996,49009,,,,short,-5.0
2026-01-30 09:58:00-05:00,2026-01-30 09:58:00,49008,49012,48967,48975,,,,short,29.0
2026-01-30 09:59:00-05:00,2026-01-30 09:59:00,48973,48987,48948,48987,,,,short,17.0
2026-01-30 10:00:00-05:00,2026-01-30 10:00:00,48984,49014,48977,48997,,,,short,7.0
